id,city_center_distances,sea_distances
10564_101hotels,"{""475"": 5.3, ""2930"": 0.7}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 2879, ""auto_manual"": 0}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 55126, ""auto_manual"": 0}}"
33872_101hotels,"{""475"": 7.2, ""2930"": 1.9}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 40, ""auto_manual"": 1}, ""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 3633, ""auto_manual"": 1}}"
140778_101hotels,"{""22"": 0.7}",
224_101hotels,"{""22"": 0.7}",
220_101hotels,"{""22"": 0.1}",
2397_101hotels,"{""22"": 0.6}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 80, ""auto_manual"": 0}}"
189360_101hotels,"{""22"": 0.5}",
671064_101hotels,"{""22"": 1.9}","{""981575360"": {""name"": ""Река Ушаковка"", ""genitive"": ""реки Ушаковка"", ""distance"": 848, ""auto_manual"": 1}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1920, ""auto_manual"": 1}}"
13173_101hotels,"{""22"": 4.7}",
6013_101hotels,"{""22"": 4}",
421457_101hotels,"{""22"": 5.6}",
560073_101hotels,"{""22"": 0.8}",
100517_101hotels,"{""22"": 2.9}",
654278_101hotels,"{""22"": 3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 169, ""auto_manual"": 0}}"
666434_101hotels,"{""22"": 4}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 605, ""auto_manual"": 0}}"
663295_101hotels,"{""22"": 0.8}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 110, ""auto_manual"": 0}}"
556415_101hotels,"{""22"": 1.8}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 334, ""auto_manual"": 0}}"
4398_101hotels,"{""22"": 1.5}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1310, ""auto_manual"": 1}}"
607_101hotels,"{""22"": 0.6}",
13519_101hotels,"{""22"": 4.3, ""2295"": 12.6}",
7190_101hotels,"{""22"": 7.3, ""2295"": 13.6}",
662868_101hotels,"{""22"": 6.8}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1393, ""auto_manual"": 0}, ""981575342"": {""name"": ""Река Иркут"", ""genitive"": ""реки Иркут"", ""distance"": 3070, ""auto_manual"": 1}}"
669898_101hotels,"{""22"": 4.8}","{""981575360"": {""name"": ""Река Ушаковка"", ""genitive"": ""реки Ушаковка"", ""distance"": 1500, ""auto_manual"": 1}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 4430, ""auto_manual"": 0}}"
14970_101hotels,"{""22"": 1.6}",
462906_101hotels,"{""22"": 3.6}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 2208, ""auto_manual"": 0}}"
666294_101hotels,"{""22"": 0.3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 106, ""auto_manual"": 0}, ""981575342"": {""name"": ""Река Иркут"", ""genitive"": ""реки Иркут"", ""distance"": 1450, ""auto_manual"": 1}}"
510819_101hotels,"{""22"": 3.8}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 3368, ""auto_manual"": 0}}"
14164_101hotels,"{""22"": 1.2}",
481664_101hotels,"{""22"": 3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1452, ""auto_manual"": 0}}"
29907_101hotels,"{""22"": 0.5}",
653724_101hotels,"{""22"": 2.5}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1280, ""auto_manual"": 0}}"
655564_101hotels,"{""22"": 1.3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 674, ""auto_manual"": 0}}"
227_101hotels,"{""22"": 3.9}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 3592, ""auto_manual"": 0}}"
610841_101hotels,"{""22"": 1.2}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1135, ""auto_manual"": 0}}"
7027_101hotels,"{""22"": 2}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 645, ""auto_manual"": 0}}"
4397_101hotels,"{""22"": 1.4}",
662866_101hotels,"{""22"": 3.1}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1311, ""auto_manual"": 0}}"
514851_101hotels,"{""22"": 2.7}",
662650_101hotels,"{""22"": 0.2}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 538, ""auto_manual"": 0}}"
667604_101hotels,"{""22"": 4.7}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 3904, ""auto_manual"": 0}}"
670249_101hotels,"{""22"": 4}","{""981575360"": {""name"": ""Река Ушаковка"", ""genitive"": ""реки Ушаковка"", ""distance"": 1630, ""auto_manual"": 1}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 2400, ""auto_manual"": 1}}"
378505_101hotels,"{""22"": 0.9}",
231_101hotels,"{""22"": 6.3}",
514581_101hotels,"{""22"": 3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1547, ""auto_manual"": 0}}"
669608_101hotels,"{""22"": 0.8}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 750, ""auto_manual"": 0}}"
14127_101hotels,"{""22"": 1.7}",
666722_101hotels,"{""22"": 1}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 620, ""auto_manual"": 1}}"
560074_101hotels,"{""22"": 3.1}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1084, ""auto_manual"": 0}}"
9536_101hotels,"{""22"": 0.5}",
485325_101hotels,"{""22"": 0.9}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 663, ""auto_manual"": 0}}"
10672_101hotels,"{""22"": 2}",
658938_101hotels,"{""22"": 2.3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1320, ""auto_manual"": 0}}"
665414_101hotels,"{""22"": 2.1}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 844, ""auto_manual"": 0}}"
667605_101hotels,"{""22"": 4.8}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 3989, ""auto_manual"": 0}}"
667749_101hotels,"{""22"": 2.5}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 2316, ""auto_manual"": 0}}"
669839_101hotels,"{""22"": 4.7}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 484, ""auto_manual"": 1}}"
670703_101hotels,"{""22"": 7.3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1480, ""auto_manual"": 1}}"
660799_101hotels,"{""22"": 0.7}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 362, ""auto_manual"": 0}}"
6855_101hotels,"{""22"": 1.2}",
514527_101hotels,"{""22"": 1.3}",
658823_101hotels,"{""22"": 1.7}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 302, ""auto_manual"": 0}}"
660703_101hotels,"{""22"": 0.9}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 915, ""auto_manual"": 0}}"
661097_101hotels,"{""22"": 9.4}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 120, ""auto_manual"": 0}}"
218_101hotels,"{""22"": 6.4, ""2295"": 14.6}",
221_101hotels,"{""22"": 5.9}",
14079_101hotels,"{""22"": 3.3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 2186, ""auto_manual"": 0}}"
559557_101hotels,"{""22"": 9.1}",
669566_101hotels,"{""22"": 7.8}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 3800, ""auto_manual"": 1}}"
671748_101hotels,"{""22"": 4.6}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 4091, ""auto_manual"": 0}}"
665625_101hotels,"{""530"": 0.8}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 2054, ""auto_manual"": 0}}"
9394_101hotels,"{""490"": 3.2}",
15210_101hotels,"{""793"": 0.9}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 273, ""auto_manual"": 1}}"
559466_101hotels,"{""793"": 1.2}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 823, ""auto_manual"": 1}}"
79583_101hotels,"{""582"": 2}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 188, ""auto_manual"": 1}}"
188946_101hotels,"{""4027"": 1.8}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 630, ""auto_manual"": 1}}"
658141_101hotels,"{""774"": 1.5}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 1434, ""auto_manual"": 0}}"
666682_101hotels,"{""385"": 18.8, ""11144"": 0.9}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 499, ""auto_manual"": 0}}"
8209_101hotels,"{""103"": 6.8}","{""9245871"": {""name"": ""Река Китой"", ""genitive"": ""реки Китой"", ""distance"": 1105, ""auto_manual"": 0}}"
2136_101hotels,"{""103"": 4.2}","{""9245871"": {""name"": ""Река Китой"", ""genitive"": ""реки Китой"", ""distance"": 1893, ""auto_manual"": 0}}"
671631_101hotels,"{""475"": 1.3}","{""981575134"": {""name"": ""Река Черемшанка"", ""genitive"": ""Реки Черемшанка"", ""distance"": 17, ""auto_manual"": 0}, ""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 232, ""auto_manual"": 0}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 61496, ""auto_manual"": 0}}"
560072_101hotels,"{""22"": 2}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1407, ""auto_manual"": 0}}"
14080_101hotels,"{""22"": 0.4}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 501, ""auto_manual"": 0}}"
17090_101hotels,"{""22"": 3.1}",
222_101hotels,"{""22"": 0.6}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 788, ""auto_manual"": 0}}"
7178_101hotels,"{""22"": 1.4}",
1970_101hotels,"{""22"": 6.8}",
226_101hotels,"{""22"": 1.9}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1091, ""auto_manual"": 0}}"
